id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
e_002, 1024, 3322, 0.00, 219, 1080, 0.00, 214, 1045, 0.00, 202, 955, 9.13, 214, 1045, 9.13, 214, 1045, 9.13, 214, 1045, 9.13, 214, 1045, 9.14, 214, 1045, 9.14, 214, 1045, 9.14, 214, 1045, 9.14, 214, 1045, 9.14, 214, 1045, 9.14
e_003, 1024, 6055, 0.00, 919, 5594, 0.00, 402, 2266, 0.00, 199, 588, 0.01, 199, 588, 0.02, 402, 2266, 0.03, 199, 588, 0.03, 199, 588, 0.04, 199, 588, 0.05, 199, 588, 0.05, 199, 588, 0.06, 199, 588, 0.07, 199, 588, 0.08
e_004, 961, 5081, 0.00, 95, 524, 0.00, 7, 27, 0.00, 4, 8, 0.00, 4, 8, 0.00, 7, 26, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 7, 27, 0.00, 4, 8, 0.00
e_005, 1024, 5736, 0.00, 875, 5136, 0.00, 313, 1634, 0.00, 145, 444, 0.01, 145, 444, 0.02, 313, 1632, 0.03, 145, 444, 0.04, 145, 444, 0.04, 145, 444, 0.05, 145, 444, 0.06, 145, 444, 0.06, 159, 477, 0.07, 145, 444, 0.08
e_006, 808, 2211, 0.00, 19, 45, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_007, 912, 4198, 0.00, 137, 570, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00
e_008, 2047, 15020, 0.00, 1908, 14272, 0.00, 405, 2528, 0.01, 170, 398, 0.02, 170, 398, 0.04, 405, 2528, 0.05, 170, 398, 0.06, 170, 398, 0.07, 170, 398, 0.08, 170, 398, 0.09, 170, 398, 0.10, 170, 398, 0.11, 170, 398, 0.12
e_009, 1000, 6804, 0.00, 380, 1677, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_010, 1016, 7005, 0.00, 798, 6136, 0.00, 655, 4493, 0.01, 566, 3230, 0.45, 634, 4091, 0.50, 580, 3675, 0.62, 577, 3628, 0.74, 634, 4091, 0.79, 577, 3628, 0.93, 577, 3646, 1.01, 577, 3628, 1.15, 578, 3673, 1.26, 577, 3628, 1.38
e_011, 4086, 15076, 0.00, 2219, 7792, 0.00, 181, 448, 0.01, 174, 410, 0.01, 174, 410, 0.02, 181, 448, 0.02, 174, 410, 0.03, 174, 410, 0.04, 174, 410, 0.04, 174, 410, 0.05, 174, 410, 0.06, 174, 410, 0.07, 174, 410, 0.08
e_012, 4092, 15066, 0.00, 2357, 8332, 0.00, 239, 587, 0.01, 232, 535, 0.02, 232, 535, 0.03, 239, 587, 0.04, 232, 535, 0.04, 232, 535, 0.05, 232, 535, 0.06, 232, 535, 0.07, 232, 535, 0.07, 232, 535, 0.08, 232, 535, 0.09
e_013, 1924, 7038, 0.00, 519, 2636, 0.00, 138, 504, 0.00, 102, 268, 0.01, 102, 268, 0.01, 129, 441, 0.01, 102, 268, 0.02, 102, 268, 0.02, 102, 268, 0.02, 102, 268, 0.03, 102, 268, 0.03, 110, 313, 0.03, 102, 268, 0.04
e_014, 1951, 7847, 0.00, 670, 3275, 0.00, 141, 628, 0.01, 100, 356, 0.01, 111, 438, 0.02, 130, 507, 0.03, 100, 357, 0.05, 111, 438, 0.06, 100, 357, 0.07, 100, 357, 0.08, 100, 357, 0.10, 101, 384, 0.11, 100, 357, 0.12
e_015, 1979, 9390, 0.00, 909, 4984, 0.00, 139, 622, 0.00, 46, 98, 0.01, 46, 98, 0.01, 122, 572, 0.02, 46, 98, 0.02, 46, 98, 0.03, 46, 98, 0.03, 46, 98, 0.04, 46, 98, 0.04, 80, 205, 0.05, 46, 98, 0.05
e_016, 1939, 10655, 0.00, 285, 1016, 0.00, 14, 38, 0.00, 12, 24, 0.00, 12, 24, 0.00, 14, 38, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00
e_017, 886, 3800, 0.00, 188, 740, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_018, 1923, 5964, 0.00, 707, 2734, 0.00, 150, 502, 0.00, 96, 212, 0.00, 96, 212, 0.01, 150, 502, 0.01, 96, 212, 0.01, 96, 212, 0.01, 96, 212, 0.01, 96, 212, 0.01, 96, 212, 0.02, 96, 212, 0.02, 96, 212, 0.02
e_019, 2034, 11718, 0.00, 1669, 10045, 0.00, 349, 1630, 0.01, 204, 538, 0.03, 204, 538, 0.04, 342, 1550, 0.06, 204, 538, 0.07, 204, 538, 0.09, 204, 538, 0.10, 204, 538, 0.12, 204, 538, 0.14, 208, 563, 0.15, 204, 538, 0.17
e_020, 1906, 7039, 0.00, 593, 2888, 0.00, 130, 476, 0.01, 89, 235, 0.01, 89, 235, 0.02, 95, 283, 0.02, 89, 235, 0.03, 89, 235, 0.03, 89, 235, 0.04, 89, 235, 0.04, 89, 235, 0.04, 102, 281, 0.05, 89, 235, 0.06
e_021, 1872, 6147, 0.00, 488, 2193, 0.00, 80, 265, 0.00, 60, 138, 0.01, 60, 138, 0.01, 74, 230, 0.01, 60, 138, 0.01, 60, 138, 0.01, 60, 138, 0.02, 60, 138, 0.02, 60, 138, 0.02, 66, 169, 0.02, 60, 138, 0.02
e_022, 830, 1884, 0.00, 110, 314, 0.00, 20, 51, 0.00, 12, 24, 0.00, 12, 24, 0.00, 20, 50, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00, 12, 24, 0.00
e_023, 1600, 5400, 0.00, 143, 430, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00
e_024, 1920, 7546, 0.00, 678, 3435, 0.00, 102, 430, 0.00, 38, 102, 0.01, 38, 102, 0.01, 90, 400, 0.01, 38, 102, 0.01, 38, 102, 0.02, 38, 102, 0.02, 38, 102, 0.02, 38, 102, 0.03, 71, 185, 0.03, 38, 102, 0.03
e_025, 860, 2802, 0.00, 94, 240, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_026, 723, 1365, 0.00, 81, 214, 0.00, 6, 20, 0.00, 0, 0, 0.00, 0, 0, 0.00, 6, 20, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_027, 1899, 9406, 0.00, 246, 830, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_028, 1930, 7372, 0.00, 827, 4142, 0.00, 218, 814, 0.01, 178, 622, 0.01, 178, 622, 0.02, 212, 759, 0.03, 178, 622, 0.03, 178, 622, 0.04, 178, 622, 0.05, 178, 622, 0.06, 178, 622, 0.06, 184, 644, 0.07, 178, 622, 0.08
e_029, 1938, 11302, 0.00, 387, 1355, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.00
e_030, 2025, 11894, 0.00, 1574, 9448, 0.00, 117, 609, 0.00, 55, 129, 0.01, 55, 129, 0.01, 115, 587, 0.02, 55, 129, 0.02, 55, 129, 0.03, 55, 129, 0.03, 55, 129, 0.04, 55, 129, 0.04, 55, 129, 0.04, 55, 129, 0.05
e_031, 4053, 26071, 0.00, 2849, 18124, 0.00, 426, 1771, 0.01, 176, 404, 0.03, 176, 404, 0.05, 421, 1756, 0.07, 176, 404, 0.08, 176, 404, 0.10, 176, 404, 0.12, 176, 404, 0.14, 176, 404, 0.16, 224, 544, 0.18, 176, 404, 0.21
e_032, 2010, 10642, 0.00, 1259, 7103, 0.00, 161, 734, 0.00, 73, 176, 0.01, 73, 176, 0.01, 161, 734, 0.02, 73, 176, 0.02, 73, 176, 0.03, 73, 176, 0.03, 73, 176, 0.04, 73, 176, 0.05, 73, 176, 0.05, 73, 176, 0.06
e_033, 850, 2010, 0.00, 153, 442, 0.00, 29, 69, 0.00, 28, 62, 0.00, 28, 62, 0.00, 29, 68, 0.00, 28, 62, 0.00, 28, 62, 0.00, 28, 62, 0.00, 28, 62, 0.00, 28, 62, 0.00, 28, 63, 0.00, 28, 62, 0.00
e_034, 940, 2650, 0.00, 330, 1289, 0.00, 25, 62, 0.00, 21, 42, 0.00, 21, 42, 0.00, 25, 62, 0.00, 21, 42, 0.00, 21, 42, 0.00, 21, 42, 0.00, 21, 42, 0.00, 21, 42, 0.00, 21, 42, 0.00, 21, 42, 0.00
e_035, 4095, 17074, 0.00, 3347, 13592, 0.00, 654, 1980, 0.02, 558, 1506, 0.04, 558, 1506, 0.05, 654, 1980, 0.07, 558, 1506, 0.08, 558, 1506, 0.10, 558, 1506, 0.12, 558, 1506, 0.13, 558, 1506, 0.15, 558, 1506, 0.17, 558, 1506, 0.18
e_036, 4091, 29827, 0.00, 3841, 28395, 0.00, 838, 5283, 0.02, 291, 670, 0.05, 291, 670, 0.08, 833, 5270, 0.10, 291, 670, 0.14, 291, 670, 0.17, 291, 670, 0.20, 291, 670, 0.24, 291, 670, 0.29, 291, 670, 0.34, 291, 670, 0.40
e_037, 4094, 28675, 0.00, 3873, 27696, 0.00, 2480, 16360, 0.02, 1463, 6180, 0.10, 1463, 6180, 0.18, 2475, 16258, 0.22, 1463, 6180, 0.32, 1463, 6180, 0.40, 1463, 6180, 0.47, 1463, 6180, 0.55, 1463, 6180, 0.63, 1464, 6197, 0.71, 1463, 6180, 0.80
e_038, 761, 1496, 0.00, 95, 287, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_039, 928, 2570, 0.00, 363, 1241, 0.00, 30, 88, 0.00, 25, 50, 0.00, 25, 50, 0.00, 30, 88, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00, 25, 50, 0.00
e_040, 4016, 21948, 0.00, 2044, 11058, 0.00, 269, 975, 0.01, 162, 383, 0.02, 162, 383, 0.03, 262, 951, 0.03, 162, 383, 0.04, 162, 383, 0.05, 162, 383, 0.06, 162, 383, 0.07, 162, 383, 0.08, 162, 383, 0.09, 162, 383, 0.10
e_041, 4093, 27082, 0.00, 3679, 25294, 0.00, 2133, 13020, 0.03, 1257, 5184, 0.10, 1257, 5184, 0.17, 2111, 12820, 0.22, 1257, 5184, 0.29, 1257, 5184, 0.36, 1257, 5184, 0.43, 1257, 5184, 0.50, 1257, 5184, 0.57, 1261, 5226, 0.64, 1257, 5184, 0.71
e_042, 1554, 5013, 0.00, 149, 467, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
e_043, 1623, 5700, 0.00, 148, 464, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00, 4, 8, 0.00
e_044, 4044, 23319, 0.00, 2522, 14241, 0.00, 325, 1204, 0.01, 152, 336, 0.02, 152, 336, 0.03, 303, 1150, 0.04, 152, 336, 0.05, 152, 336, 0.06, 152, 336, 0.07, 152, 336, 0.09, 152, 336, 0.10, 152, 336, 0.11, 152, 336, 0.12
e_045, 4093, 30202, 0.00, 3972, 29576, 0.00, 2816, 19785, 0.02, 1510, 6321, 0.10, 1510, 6321, 0.20, 2816, 19785, 0.25, 1510, 6321, 0.37, 1510, 6321, 0.49, 1510, 6321, 0.61, 1510, 6321, 0.73, 1510, 6321, 0.85, 1510, 6321, 0.97, 1510, 6321, 1.09
e_046, 948, 2671, 0.00, 316, 1215, 0.00, 50, 180, 0.00, 33, 66, 0.00, 33, 66, 0.00, 50, 180, 0.00, 33, 66, 0.00, 33, 66, 0.00, 33, 66, 0.00, 33, 66, 0.00, 33, 66, 0.00, 33, 66, 0.00, 33, 66, 0.00
e_047, 4092, 28612, 0.00, 3827, 27287, 0.00, 2694, 17433, 0.03, 1457, 6186, 0.15, 1457, 6186, 0.25, 2692, 17395, 0.31, 1457, 6186, 0.41, 1457, 6186, 0.52, 1457, 6186, 0.62, 1457, 6186, 0.73, 1457, 6186, 0.83, 1527, 6447, 0.92, 1457, 6186, 1.03
e_048, 3853, 12722, 0.00, 317, 786, 0.00, 317, 786, 0.00, 317, 786, 0.01, 317, 786, 0.01, 317, 786, 0.01, 311, 772, 0.01, 317, 786, 0.01, 317, 786, 0.01, 317, 786, 0.01, 317, 786, 0.01, 317, 786, 0.01, 317, 786, 0.01
e_049, 4057, 23857, 0.00, 2960, 18521, 0.00, 842, 4041, 0.02, 525, 1541, 0.06, 525, 1541, 0.09, 779, 3534, 0.12, 525, 1541, 0.16, 525, 1541, 0.20, 525, 1541, 0.23, 525, 1541, 0.27, 525, 1541, 0.30, 529, 1588, 0.34, 525, 1541, 0.38
e_050, 4096, 20102, 0.00, 2454, 9562, 0.01, 2454, 9562, 0.02, 2446, 9536, 0.05, 2454, 9562, 0.06, 2454, 9562, 0.07, 2454, 9562, 0.09, 2454, 9562, 0.10, 2454, 9562, 0.12, 2446, 9536, 0.13, 2454, 9562, 0.15, 2454, 9562, 0.16, 2408, 9364, 0.18
